 Uri sujet ; label français ; relation ; WordNet; Uri objet ; label français ; Validation Catherine; Wikipedia; NCBI; note
http://aims.fao.org/aos/agrovoc/c_728 ; Avena, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_2278 ; Digitaria, Fonio (digitaria), ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_5608 ; Paspalum, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_1042 ; Brachiaria, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_1037 ; Bouteloua, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_2102 ; Dactyloctenium, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_2868 ; Festuca, Fétuque, ; subClassOf ; Not validated; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_7843 ; Trachypogon, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_4727 ; Melocanna, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
http://aims.fao.org/aos/agrovoc/c_682 ; Astrebla, ; subClassOf ; Not found; http://aims.fao.org/aos/agrovoc/c_3354; Poaceae, Sporobolaceae, Eragrosteae, Avenaceae, Bambusaceae, Hordeaceae, Gramineae, Arundinellaceae, Phalaridaceae, Maydaceae, Melinideae, Chloridaceae, Poeae, Tripsaceae, Oryzaceae, Zizanieae, Agrostidaceae, Stipaceae, Lepturaceae, Arundinaceae, Festucaceae, Eragrostidaceae, Panicaceae, Andropogonaceae, ; ; ; ; 
